,Date,Avg Sentiment Score,Gtrends Buy,Gtrends Sell,BTC close price,BTC Returns,S&P close price
0,2016-10-27,0.07794777286636163,100,20,686.52,12.159999999999968,2133.040039
1,2016-10-28,0.09532984183963154,198,33,688.1,1.580000000000041,2126.409912
2,2016-10-29,0.08290366823584491,152,39,712.87,24.769999999999982,
3,2016-10-30,0.09176761336170162,188,23,696.35,-16.519999999999982,
4,2016-10-31,0.09087851840912231,193,16,697.37,1.0199999999999818,2126.149902
5,2016-11-01,0.0931269568374455,200,27,729.27,31.899999999999977,2111.719971
6,2016-11-02,0.08077137936532168,185,18,742.46,13.190000000000055,2097.939941
7,2016-11-03,0.07283988696707375,179,22,687.51,-54.950000000000045,2088.659912
8,2016-11-04,0.09009204531053785,196,13,702.54,15.029999999999973,2085.179932
9,2016-11-05,0.08440601711703972,176,8,704.16,1.6200000000000045,
10,2016-11-06,0.09627520875278284,157,23,712.24,8.080000000000041,
11,2016-11-07,0.09205929991018376,200,34,704.02,-8.220000000000027,2131.52002
12,2016-11-08,0.09268637655688952,131,8,709.15,5.1299999999999955,2139.560059
13,2016-11-09,0.10726221302034217,200,13,721.19,12.040000000000077,2163.26001
14,2016-11-10,0.108715763532855,189,30,713.67,-7.5200000000000955,2167.47998
15,2016-11-11,0.10970459774410136,182,36,716.56,2.8899999999999864,2164.449951
16,2016-11-12,0.08900782811589782,158,28,703.55,-13.009999999999991,
17,2016-11-13,0.08826119211775009,200,20,702.5,-1.0499999999999545,
18,2016-11-14,0.0904597246558366,195,32,706.39,3.8899999999999864,2164.199951
19,2016-11-15,0.10319128933471405,181,19,711.96,5.57000000000005,2180.389893
20,2016-11-16,0.0979589781559326,200,16,742.07,30.110000000000014,2176.939941
21,2016-11-17,0.10794504558229029,167,28,735.41,-6.660000000000082,2187.1201170000004
22,2016-11-18,0.10579412296832855,196,33,749.68,14.269999999999982,2181.899902
23,2016-11-19,0.10493886008569685,182,36,750.63,0.9500000000000455,
24,2016-11-20,0.09930747692681399,200,30,728.61,-22.019999999999982,
25,2016-11-21,0.09213495303035153,173,18,736.72,8.110000000000014,2198.179932
26,2016-11-22,0.07393676775145731,123,39,748.22,11.5,2202.939941
27,2016-11-23,0.08351001552927047,200,12,741.6,-6.6200000000000045,2204.719971
28,2016-11-24,0.07749212751348183,155,30,736.4,-5.2000000000000455,
29,2016-11-25,0.06718753048856693,176,11,738.28,1.8799999999999955,2213.350098
30,2016-11-26,0.0914292563842758,200,20,732.82,-5.459999999999923,
31,2016-11-27,0.06591801731675964,198,9,728.42,-4.400000000000091,
32,2016-11-28,0.060922145192415136,170,11,731.75,3.330000000000041,2201.719971
33,2016-11-29,0.06150511423209491,182,31,731.76,0.009999999999990905,2204.659912
34,2016-11-30,0.07156707449205946,194,37,742.01,10.25,2198.810059
35,2016-12-01,0.0664458657369861,186,25,753.25,11.240000000000009,2191.080078
36,2016-12-02,0.08344213709894258,200,5,771.41,18.159999999999968,2191.949951
37,2016-12-03,0.09643108771405796,166,44,764.97,-6.439999999999941,
38,2016-12-04,0.08478919960947216,153,30,766.46,1.490000000000009,
39,2016-12-05,0.0907816013791059,200,39,750.71,-15.75,2204.709961
40,2016-12-06,0.12026070072841649,148,33,758.81,8.099999999999909,2212.22998
41,2016-12-07,0.05932258423814299,198,22,763.9,5.090000000000032,2241.350098
