date,gtrends
2014-12-28,2.0
2014-12-29,2.0
2014-12-30,2.148148148148148
2014-12-31,1.9259259259259258
2015-01-01,1.8518518518518516
2015-01-02,2.074074074074074
2015-01-03,2.2962962962962963
2015-01-04,2.0
2015-01-05,2.028985507246377
2015-01-06,2.2028985507246377
2015-01-07,1.681159420289855
2015-01-08,1.6231884057971016
2015-01-09,1.7971014492753623
2015-01-10,1.8260869565217392
2015-01-11,3.0
2015-01-12,3.489795918367347
2015-01-13,4.040816326530612
2015-01-14,6.122448979591836
2015-01-15,5.387755102040816
2015-01-16,4.836734693877551
2015-01-17,3.9183673469387754
2015-01-18,2.0
2015-01-19,1.8275862068965516
2015-01-20,2.0689655172413794
2015-01-21,2.1379310344827585
2015-01-22,2.0689655172413794
2015-01-23,2.0
2015-01-24,1.9310344827586206
2015-01-25,2.0
2015-01-25,2.0
2015-01-26,2.6857142857142855
2015-01-27,2.314285714285714
2015-01-28,2.1142857142857143
2015-01-29,1.9714285714285713
2015-01-30,1.8285714285714285
2015-01-31,1.6857142857142857
2015-02-01,2.0
2015-02-02,1.9016393442622952
2015-02-03,2.1639344262295084
2015-02-04,2.1311475409836067
2015-02-05,2.2622950819672134
2015-02-06,2.0655737704918034
2015-02-07,2.4918032786885247
2015-02-08,2.0
2015-02-09,2.083333333333333
2015-02-10,2.0555555555555554
2015-02-11,1.8888888888888888
2015-02-12,1.7777777777777777
2015-02-13,1.8333333333333333
2015-02-14,1.75
2015-02-15,2.0
2015-02-16,2.064516129032258
2015-02-17,2.096774193548387
2015-02-18,2.225806451612903
2015-02-19,2.096774193548387
2015-02-20,3.225806451612903
2015-02-21,2.129032258064516
2015-02-22,2.0
2015-02-22,2.0
2015-02-23,1.8795180722891567
2015-02-24,1.7831325301204821
2015-02-25,1.710843373493976
2015-02-26,1.7831325301204821
2015-02-27,1.7831325301204821
2015-02-28,1.7831325301204821
2015-03-01,2.0
2015-03-02,2.318840579710145
2015-03-03,2.608695652173913
2015-03-04,2.463768115942029
2015-03-05,2.3768115942028984
2015-03-06,2.869565217391304
2015-03-07,2.898550724637681
2015-03-08,2.0
2015-03-09,2.0
2015-03-10,2.0229885057471266
2015-03-11,2.1379310344827585
2015-03-12,1.9770114942528736
2015-03-13,1.9310344827586206
2015-03-14,1.793103448275862
2015-03-15,2.0
2015-03-16,1.9753086419753085
2015-03-17,1.876543209876543
2015-03-18,2.074074074074074
2015-03-19,2.2469135802469133
2015-03-20,1.7777777777777777
2015-03-21,1.9259259259259258
2015-03-22,2.0
2015-03-22,2.0
2015-03-23,2.2988505747126435
2015-03-24,2.0689655172413794
2015-03-25,2.1149425287356323
2015-03-26,2.1149425287356323
2015-03-27,1.8620689655172413
2015-03-28,1.9080459770114941
2015-03-29,2.0
2015-03-30,2.5
2015-03-31,2.4473684210526314
2015-04-01,2.552631578947368
2015-04-02,2.4210526315789473
2015-04-03,2.289473684210526
2015-04-04,2.236842105263158
2015-04-05,2.0
2015-04-06,2.3209876543209873
2015-04-07,2.2469135802469133
2015-04-08,2.3209876543209873
2015-04-09,2.271604938271605
2015-04-10,2.3456790123456788
2015-04-11,2.074074074074074
2015-04-12,2.0
2015-04-13,2.2195121951219514
2015-04-14,2.3902439024390243
2015-04-15,2.1219512195121952
2015-04-16,2.073170731707317
2015-04-17,2.097560975609756
2015-04-18,2.048780487804878
2015-04-19,2.0
2015-04-19,2.0
2015-04-20,2.1627906976744184
2015-04-21,2.2325581395348837
2015-04-22,2.2325581395348837
2015-04-23,2.1627906976744184
2015-04-24,2.0232558139534884
2015-04-25,2.0
2015-04-26,2.0
2015-04-27,1.913978494623656
2015-04-28,1.763440860215054
2015-04-29,2.0
2015-04-30,2.1075268817204305
2015-05-01,1.78494623655914
2015-05-02,1.6774193548387097
2015-05-03,2.0
2015-05-04,2.3846153846153846
2015-05-05,2.205128205128205
2015-05-06,2.128205128205128
2015-05-07,2.1025641025641026
2015-05-08,2.2564102564102564
2015-05-09,1.8974358974358974
2015-05-10,2.0
2015-05-11,2.1728395061728394
2015-05-12,2.148148148148148
2015-05-13,2.2222222222222223
2015-05-14,2.4691358024691357
2015-05-15,2.2222222222222223
2015-05-16,2.0987654320987654
2015-05-17,2.0
2015-05-17,2.0
2015-05-18,2.0
2015-05-19,2.25
2015-05-20,2.225
2015-05-21,2.0500000000000003
2015-05-22,1.9500000000000002
2015-05-23,1.875
2015-05-24,2.0
2015-05-25,1.9740259740259742
2015-05-26,2.077922077922078
2015-05-27,2.207792207792208
2015-05-28,1.8701298701298703
2015-05-29,2.103896103896104
2015-05-30,2.5974025974025974
2015-05-31,2.0
2015-06-01,1.927710843373494
2015-06-02,1.9759036144578315
2015-06-03,1.927710843373494
2015-06-04,2.0
2015-06-05,1.8554216867469882
2015-06-06,1.8313253012048194
2015-06-07,2.0
2015-06-08,1.7974683544303798
2015-06-09,1.9746835443037973
