date,bitcoin,BTC,bitcoinyear,BTCyear,adj,gtrends
2014-12-31,54,25,,,,
2015-01-01,49,20,,,,
2015-01-02,52,23,,,,
2015-01-03,55,26,,,,
2015-01-04,65,24,2.0,1.0,0.03076923076923077,2.0
2015-01-05,64,26,,,0.03076923076923077,1.9692307692307693
2015-01-06,76,27,,,0.03076923076923077,2.3384615384615386
2015-01-07,59,24,,,0.03076923076923077,1.8153846153846156
2015-01-08,55,28,,,0.03076923076923077,1.6923076923076925
2015-01-09,59,23,,,0.03076923076923077,1.8153846153846156
2015-01-10,56,19,,,0.03076923076923077,1.7230769230769232
2015-01-11,50,20,3.0,1.0,0.06,3.0
2015-01-12,50,20,,,0.06,3.0
2015-01-13,66,24,,,0.06,3.96
2015-01-14,100,31,,,0.06,6.0
2015-01-15,86,26,,,0.06,5.16
2015-01-16,80,24,,,0.06,4.8
2015-01-17,61,24,,,0.06,3.6599999999999997
2015-01-18,55,23,2.0,1.0,0.03636363636363636,2.0
2015-01-19,53,26,,,0.03636363636363636,1.9272727272727272
2015-01-20,54,22,,,0.03636363636363636,1.9636363636363636
2015-01-21,63,34,,,0.03636363636363636,2.290909090909091
2015-01-22,60,32,,,0.03636363636363636,2.1818181818181817
2015-01-23,54,25,,,0.03636363636363636,1.9636363636363636
2015-01-24,54,25,,,0.03636363636363636,1.9636363636363636
2015-01-25,52,19,2.0,1.0,0.038461538461538464,2.0
2015-01-26,77,26,,,0.038461538461538464,2.9615384615384617
2015-01-27,67,25,,,0.038461538461538464,2.576923076923077
2015-01-28,63,27,,,0.038461538461538464,2.4230769230769234
2015-01-29,60,27,,,0.038461538461538464,2.307692307692308
2015-01-30,54,23,,,0.038461538461538464,2.076923076923077
2015-01-31,47,22,,,0.038461538461538464,1.8076923076923077
2015-01-31,58,28,,,0.038461538461538464,2.230769230769231
2015-02-01,70,28,2.0,1.0,0.02857142857142857,2.0
2015-02-02,61,26,,,0.02857142857142857,1.7428571428571429
2015-02-03,66,30,,,0.02857142857142857,1.8857142857142857
2015-02-04,67,28,,,0.02857142857142857,1.9142857142857141
2015-02-05,75,29,,,0.02857142857142857,2.142857142857143
2015-02-06,69,30,,,0.02857142857142857,1.9714285714285713
2015-02-07,79,23,,,0.02857142857142857,2.257142857142857
2015-02-08,77,27,2.0,1.0,0.025974025974025976,2.0
2015-02-09,73,26,,,0.025974025974025976,1.8961038961038963
2015-02-10,72,23,,,0.025974025974025976,1.8701298701298703
2015-02-11,71,24,,,0.025974025974025976,1.8441558441558443
2015-02-12,62,26,,,0.025974025974025976,1.6103896103896105
2015-02-13,64,30,,,0.025974025974025976,1.6623376623376624
2015-02-14,63,26,,,0.025974025974025976,1.6363636363636365
2015-02-15,66,26,2.0,1.0,0.030303030303030304,2.0
2015-02-16,68,27,,,0.030303030303030304,2.0606060606060606
2015-02-17,67,28,,,0.030303030303030304,2.0303030303030303
2015-02-18,73,31,,,0.030303030303030304,2.2121212121212124
2015-02-19,74,30,,,0.030303030303030304,2.2424242424242427
2015-02-20,100,29,,,0.030303030303030304,3.0303030303030303
2015-02-21,67,25,,,0.030303030303030304,2.0303030303030303
2015-02-22,63,26,2.0,1.0,0.031746031746031744,2.0
2015-02-23,61,26,,,0.031746031746031744,1.9365079365079363
2015-02-24,60,25,,,0.031746031746031744,1.9047619047619047
2015-02-25,57,25,,,0.031746031746031744,1.8095238095238093
2015-02-26,59,25,,,0.031746031746031744,1.873015873015873
2015-02-27,61,25,,,0.031746031746031744,1.9365079365079363
2015-02-28,61,26,,,0.031746031746031744,1.9365079365079363
2015-02-28,74,29,,,0.031746031746031744,2.349206349206349
2015-03-01,76,25,2.0,1.0,0.02631578947368421,2.0
2015-03-02,78,31,,,0.02631578947368421,2.052631578947368
2015-03-03,82,33,,,0.02631578947368421,2.1578947368421053
2015-03-04,75,29,,,0.02631578947368421,1.9736842105263157
2015-03-05,88,28,,,0.02631578947368421,2.3157894736842106
2015-03-06,89,28,,,0.02631578947368421,2.3421052631578947
2015-03-07,100,27,,,0.02631578947368421,2.631578947368421
2015-03-08,87,28,2.0,1.0,0.022988505747126436,2.0
2015-03-09,93,34,,,0.022988505747126436,2.1379310344827585
2015-03-10,86,34,,,0.022988505747126436,1.9770114942528736
2015-03-11,91,29,,,0.022988505747126436,2.0919540229885056
2015-03-12,87,31,,,0.022988505747126436,2.0
2015-03-13,89,36,,,0.022988505747126436,2.045977011494253
2015-03-14,72,39,,,0.022988505747126436,1.6551724137931034
2015-03-15,83,46,2.0,1.0,0.024096385542168676,2.0
2015-03-16,77,55,,,0.024096385542168676,1.8554216867469882
2015-03-17,80,47,,,0.024096385542168676,1.927710843373494
2015-03-18,85,41,,,0.024096385542168676,2.0481927710843375
2015-03-19,83,34,,,0.024096385542168676,2.0
2015-03-20,73,33,,,0.024096385542168676,1.7590361445783134
2015-03-21,76,32,,,0.024096385542168676,1.8313253012048194
2015-03-22,70,28,2.0,1.0,0.02857142857142857,2.0
2015-03-23,78,34,,,0.02857142857142857,2.2285714285714286
2015-03-24,71,31,,,0.02857142857142857,2.0285714285714285
2015-03-25,81,31,,,0.02857142857142857,2.314285714285714
2015-03-26,74,28,,,0.02857142857142857,2.1142857142857143
2015-03-27,66,29,,,0.02857142857142857,1.8857142857142857
2015-03-28,64,25,,,0.02857142857142857,1.8285714285714285
2015-03-29,67,24,2.0,1.0,0.029850746268656716,2.0
2015-03-30,75,31,,,0.029850746268656716,2.2388059701492535
2015-03-31,73,29,,,0.029850746268656716,2.1791044776119404
